,total_enrollment,total_price,year,for_profit,private,public,net_cost_0_to_30,net_cost_30_to_48,net_cost_48_to_75,net_cost_75_to_110,net_cost_over_110,state_code,off_campus,on_campus,two_year,four_year,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,asian_enrollment,white_enrollment,black_enrollment,american_indian_alaska_native_enrollment,hispanic_enrollment
8599,28686.0,27484,2018,0.0,0.0,1.0,9447.082196,11712.29756,16551.29618,22680.76256,23783.22867,33,0.0,1.0,0.0,1.0,11398.0,11581,22979,26365,37763,1497.0,18000.0,896.0,169.0,3077.0
8600,28686.0,27249,2017,0.0,0.0,1.0,9366.305588,11612.15238,16409.77549,22486.8323,23579.87185,33,0.0,1.0,0.0,1.0,11398.0,11581,22979,26365,37763,1497.0,18000.0,896.0,169.0,3077.0
8601,28686.0,26899,2016,0.0,0.0,1.0,9246.0,11463.0,16199.0,22198.0,23277.0,33,0.0,1.0,0.0,1.0,11398.0,11581,22979,26365,37763,1497.0,18000.0,896.0,169.0,3077.0
8602,28686.0,27249,2017,0.0,0.0,1.0,9366.305588,11612.15238,16409.77549,22486.8323,23579.87185,33,1.0,0.0,0.0,1.0,11398.0,11581,22979,26365,37763,1497.0,18000.0,896.0,169.0,3077.0
8603,28686.0,27484,2018,0.0,0.0,1.0,9447.082196,11712.29756,16551.29618,22680.76256,23783.22867,33,1.0,0.0,0.0,1.0,11398.0,11581,22979,26365,37763,1497.0,18000.0,896.0,169.0,3077.0
8604,12295.0,15580,2018,0.0,0.0,1.0,4061.639344,4625.409836,6659.344262,8746.229508,9666.120219,7,1.0,0.0,1.0,0.0,0.0,3150,3150,6900,6900,415.0,7868.0,2027.0,61.0,716.0
8605,12295.0,15180,2017,0.0,0.0,1.0,3957.361056,4506.657337,6488.372651,8521.679328,9417.952819,7,1.0,0.0,1.0,0.0,0.0,3150,3150,6900,6900,415.0,7868.0,2027.0,61.0,716.0
8606,12295.0,15006,2016,0.0,0.0,1.0,3912.0,4455.0,6414.0,8424.0,9310.0,7,1.0,0.0,1.0,0.0,0.0,3150,3150,6900,6900,415.0,7868.0,2027.0,61.0,716.0
8607,10904.0,22014,2017,0.0,0.0,1.0,4352.485895000001,4501.954576,7491.328201,9533.365114,9748.094769,21,1.0,0.0,1.0,0.0,0.0,4080,4080,11295,11295,353.0,5452.0,757.0,10.0,3773.0
8608,10904.0,20914,2016,0.0,0.0,1.0,4135.0,4277.0,7117.0,9057.0,9261.0,21,1.0,0.0,1.0,0.0,0.0,4080,4080,11295,11295,353.0,5452.0,757.0,10.0,3773.0
8609,10904.0,23250,2018,0.0,0.0,1.0,4596.860954,4754.721718,7911.936979999999,10068.62628,10295.41216,21,1.0,0.0,1.0,0.0,0.0,4080,4080,11295,11295,353.0,5452.0,757.0,10.0,3773.0
8610,8692.0,17340,2017,0.0,0.0,1.0,8831.114983,9324.529617,11679.82927,13589.04181,13817.62369,20,1.0,0.0,1.0,0.0,0.0,4268,4268,6281,6281,233.0,6947.0,585.0,49.0,486.0
8611,8692.0,17220,2016,0.0,0.0,1.0,8770.0,9260.0,11599.0,13495.0,13722.0,20,1.0,0.0,1.0,0.0,0.0,4268,4268,6281,6281,233.0,6947.0,585.0,49.0,486.0
8612,8692.0,17465,2018,0.0,0.0,1.0,8894.776423000001,9391.747967,11764.02642,13687.00203,13917.23171,20,1.0,0.0,1.0,0.0,0.0,4268,4268,6281,6281,233.0,6947.0,585.0,49.0,486.0
8613,5536.0,33318,2018,0.0,1.0,0.0,20587.08634,20622.45326,22810.48694,25554.96023,28747.41455,1,0.0,1.0,0.0,1.0,7992.0,20070,28062,20070,28062,117.0,2557.0,888.0,50.0,1415.0
8614,5536.0,28262,2016,0.0,1.0,0.0,17463.0,17493.0,19349.0,21677.0,24385.0,1,0.0,1.0,0.0,1.0,7992.0,20070,28062,20070,28062,117.0,2557.0,888.0,50.0,1415.0
8615,5536.0,31966,2016,0.0,1.0,0.0,17463.0,17493.0,19349.0,21677.0,24385.0,1,1.0,0.0,0.0,1.0,7992.0,20070,28062,20070,28062,117.0,2557.0,888.0,50.0,1415.0
8616,5536.0,31062,2017,0.0,1.0,0.0,19193.1111,19226.08329,21265.96271,23824.60456,26800.89413,1,0.0,1.0,0.0,1.0,7992.0,20070,28062,20070,28062,117.0,2557.0,888.0,50.0,1415.0
8617,5536.0,34766,2017,0.0,1.0,0.0,19193.1111,19226.08329,21265.96271,23824.60456,26800.89413,1,1.0,0.0,0.0,1.0,7992.0,20070,28062,20070,28062,117.0,2557.0,888.0,50.0,1415.0
8618,5536.0,36326,2018,0.0,1.0,0.0,20587.08634,20622.45326,22810.48694,25554.96023,28747.41455,1,1.0,0.0,0.0,1.0,7992.0,20070,28062,20070,28062,117.0,2557.0,888.0,50.0,1415.0
8619,3351.0,16765,2018,0.0,0.0,1.0,2188.212532,3886.497834,3904.894311,5212.9806530000005,0.0,11,1.0,0.0,1.0,0.0,0.0,2524,2524,8668,8668,62.0,2056.0,786.0,22.0,318.0
8620,3351.0,17315,2017,0.0,0.0,1.0,2260.0,4014.0,4033.0,5384.0,0.0,11,1.0,0.0,1.0,0.0,0.0,2524,2524,8668,8668,62.0,2056.0,786.0,22.0,318.0
8621,3470.0,17464,2016,0.0,0.0,1.0,10585.0,10905.0,13005.0,15012.0,15719.0,35,1.0,0.0,0.0,1.0,7668.0,6989,14657,12299,19967,19.0,2734.0,95.0,25.0,229.0
8622,3470.0,19178,2018,0.0,0.0,1.0,11623.86223,11975.26855,14281.37254,16485.34906,17261.7374,35,0.0,1.0,0.0,1.0,7668.0,6989,14657,12299,19967,19.0,2734.0,95.0,25.0,229.0
8623,3470.0,18422,2017,0.0,0.0,1.0,11165.64762,11503.20144,13718.39842,15835.49382,16581.2768,35,1.0,0.0,0.0,1.0,7668.0,6989,14657,12299,19967,19.0,2734.0,95.0,25.0,229.0
8624,3470.0,18422,2017,0.0,0.0,1.0,11165.64762,11503.20144,13718.39842,15835.49382,16581.2768,35,0.0,1.0,0.0,1.0,7668.0,6989,14657,12299,19967,19.0,2734.0,95.0,25.0,229.0
8625,3470.0,19178,2018,0.0,0.0,1.0,11623.86223,11975.26855,14281.37254,16485.34906,17261.7374,35,1.0,0.0,0.0,1.0,7668.0,6989,14657,12299,19967,19.0,2734.0,95.0,25.0,229.0
8626,3470.0,17464,2016,0.0,0.0,1.0,10585.0,10905.0,13005.0,15012.0,15719.0,35,0.0,1.0,0.0,1.0,7668.0,6989,14657,12299,19967,19.0,2734.0,95.0,25.0,229.0
8627,27578.0,25357,2016,0.0,0.0,1.0,9300.0,11399.0,14158.0,17420.0,18188.0,7,0.0,1.0,0.0,1.0,10427.0,13347,23774,28241,38668,2057.0,15004.0,4881.0,82.0,983.0
8628,27578.0,26289,2017,0.0,0.0,1.0,9641.822771,11817.9718,14678.37922,18060.27448,18856.50243,7,0.0,1.0,0.0,1.0,10427.0,13347,23774,28241,38668,2057.0,15004.0,4881.0,82.0,983.0
8629,27578.0,28491,2017,0.0,0.0,1.0,9641.822771,11817.9718,14678.37922,18060.27448,18856.50243,7,1.0,0.0,0.0,1.0,10427.0,13347,23774,28241,38668,2057.0,15004.0,4881.0,82.0,983.0
8630,27578.0,27157,2018,0.0,0.0,1.0,9960.172733,12208.17301,15163.02425,18656.58161,19479.0991,7,0.0,1.0,0.0,1.0,10427.0,13347,23774,28241,38668,2057.0,15004.0,4881.0,82.0,983.0
8631,27578.0,28353,2016,0.0,0.0,1.0,9300.0,11399.0,14158.0,17420.0,18188.0,7,1.0,0.0,0.0,1.0,10427.0,13347,23774,28241,38668,2057.0,15004.0,4881.0,82.0,983.0
8632,27578.0,28919,2018,0.0,0.0,1.0,9960.172733,12208.17301,15163.02425,18656.58161,19479.0991,7,1.0,0.0,0.0,1.0,10427.0,13347,23774,28241,38668,2057.0,15004.0,4881.0,82.0,983.0
